Name,Project_Id__c,Cluster__c,Status__c,Price__c,Bedrooms__c,Area_Sqm__c
zoya-coastal-villas-001,zoya,Coastal Villas,Available,45000000,5,420
zoya-coastal-villas-002,zoya,Coastal Villas,Available,48150000,5,420
zoya-coastal-villas-003,zoya,Coastal Villas,Available,51300000,5,420
zoya-coastal-villas-004,zoya,Coastal Villas,Available,47700000,5,420
zoya-coastal-villas-005,zoya,Coastal Villas,Available,50850000,5,420
zoya-coastal-villas-006,zoya,Coastal Villas,Available,47250000,5,420
zoya-coastal-villas-007,zoya,Coastal Villas,Available,50400000,5,420
zoya-coastal-villas-008,zoya,Coastal Villas,Reserved,46800000,5,420
zoya-coastal-villas-009,zoya,Coastal Villas,Reserved,49950000,5,420
zoya-coastal-villas-010,zoya,Coastal Villas,Reserved,46350000,5,420
zoya-coastal-villas-011,zoya,Coastal Villas,Reserved,49500000,5,420
zoya-coastal-villas-012,zoya,Coastal Villas,Sold,45900000,5,420
zoya-coastal-villas-013,zoya,Coastal Villas,Sold,49050000,5,420
zoya-coastal-villas-014,zoya,Coastal Villas,Sold,45450000,5,420
zoya-coastal-villas-015,zoya,Coastal Villas,Sold,48600000,5,420
zoya-coastal-villas-016,zoya,Coastal Villas,Sold,45000000,5,420
zoya-coastal-villas-017,zoya,Coastal Villas,Sold,48150000,5,420
zoya-coastal-villas-018,zoya,Coastal Villas,Sold,51300000,5,420
zoya-coastal-villas-019,zoya,Coastal Villas,Sold,47700000,5,420
zoya-coastal-villas-020,zoya,Coastal Villas,Sold,50850000,5,420
zoya-coastal-villas-021,zoya,Coastal Villas,Sold,47250000,5,420
zoya-coastal-villas-022,zoya,Coastal Villas,Sold,50400000,5,420
zoya-coastal-villas-023,zoya,Coastal Villas,Sold,46800000,5,420
zoya-coastal-villas-024,zoya,Coastal Villas,Sold,49950000,5,420
zoya-lagoon-residences-001,zoya,Lagoon Residences,Available,12000000,3,180
zoya-lagoon-residences-002,zoya,Lagoon Residences,Available,12840000,3,180
zoya-lagoon-residences-003,zoya,Lagoon Residences,Available,13680000,3,180
zoya-lagoon-residences-004,zoya,Lagoon Residences,Available,12720000,3,180
zoya-lagoon-residences-005,zoya,Lagoon Residences,Available,13560000,3,180
zoya-lagoon-residences-006,zoya,Lagoon Residences,Available,12600000,3,180
zoya-lagoon-residences-007,zoya,Lagoon Residences,Available,13440000,3,180
zoya-lagoon-residences-008,zoya,Lagoon Residences,Available,12480000,3,180
zoya-lagoon-residences-009,zoya,Lagoon Residences,Available,13320000,3,180
zoya-lagoon-residences-010,zoya,Lagoon Residences,Available,12360000,3,180
zoya-lagoon-residences-011,zoya,Lagoon Residences,Available,13200000,3,180
zoya-lagoon-residences-012,zoya,Lagoon Residences,Available,12240000,3,180
zoya-lagoon-residences-013,zoya,Lagoon Residences,Available,13080000,3,180
zoya-lagoon-residences-014,zoya,Lagoon Residences,Available,12120000,3,180
zoya-lagoon-residences-015,zoya,Lagoon Residences,Available,12960000,3,180
zoya-lagoon-residences-016,zoya,Lagoon Residences,Available,12000000,3,180
zoya-lagoon-residences-017,zoya,Lagoon Residences,Available,12840000,3,180
zoya-lagoon-residences-018,zoya,Lagoon Residences,Available,13680000,3,180
zoya-lagoon-residences-019,zoya,Lagoon Residences,Available,12720000,3,180
zoya-lagoon-residences-020,zoya,Lagoon Residences,Available,13560000,3,180
zoya-lagoon-residences-021,zoya,Lagoon Residences,Available,12600000,3,180
zoya-lagoon-residences-022,zoya,Lagoon Residences,Available,13440000,3,180
zoya-lagoon-residences-023,zoya,Lagoon Residences,Available,12480000,3,180
zoya-lagoon-residences-024,zoya,Lagoon Residences,Available,13320000,3,180
zoya-lagoon-residences-025,zoya,Lagoon Residences,Available,12360000,3,180
zoya-lagoon-residences-026,zoya,Lagoon Residences,Available,13200000,3,180
zoya-lagoon-residences-027,zoya,Lagoon Residences,Reserved,12240000,3,180
zoya-lagoon-residences-028,zoya,Lagoon Residences,Reserved,13080000,3,180
zoya-lagoon-residences-029,zoya,Lagoon Residences,Reserved,12120000,3,180
zoya-lagoon-residences-030,zoya,Lagoon Residences,Reserved,12960000,3,180
zoya-lagoon-residences-031,zoya,Lagoon Residences,Reserved,12000000,3,180
zoya-lagoon-residences-032,zoya,Lagoon Residences,Reserved,12840000,3,180
zoya-lagoon-residences-033,zoya,Lagoon Residences,Reserved,13680000,3,180
zoya-lagoon-residences-034,zoya,Lagoon Residences,Reserved,12720000,3,180
zoya-lagoon-residences-035,zoya,Lagoon Residences,Reserved,13560000,3,180
zoya-lagoon-residences-036,zoya,Lagoon Residences,Reserved,12600000,3,180
zoya-lagoon-residences-037,zoya,Lagoon Residences,Sold,13440000,3,180
zoya-lagoon-residences-038,zoya,Lagoon Residences,Sold,12480000,3,180
zoya-lagoon-residences-039,zoya,Lagoon Residences,Sold,13320000,3,180
zoya-lagoon-residences-040,zoya,Lagoon Residences,Sold,12360000,3,180
zoya-lagoon-residences-041,zoya,Lagoon Residences,Sold,13200000,3,180
zoya-lagoon-residences-042,zoya,Lagoon Residences,Sold,12240000,3,180
zoya-lagoon-residences-043,zoya,Lagoon Residences,Sold,13080000,3,180
zoya-lagoon-residences-044,zoya,Lagoon Residences,Sold,12120000,3,180
zoya-lagoon-residences-045,zoya,Lagoon Residences,Sold,12960000,3,180
zoya-lagoon-residences-046,zoya,Lagoon Residences,Sold,12000000,3,180
zoya-lagoon-residences-047,zoya,Lagoon Residences,Sold,12840000,3,180
zoya-lagoon-residences-048,zoya,Lagoon Residences,Sold,13680000,3,180
zoya-marina-apartments-001,zoya,Marina Apartments,Available,7500000,2,110
