Name,Project_Id__c,Cluster__c,Villa_Type__c,Status__c,Price__c,Bedrooms__c,Area_Sqm__c
sea-vil-shoreline-villa-basement-945-001,zoya,Sea Vil,sea-vil-shoreline-villa-basement-945,Available,89800000,6,945
sea-vil-shoreline-villa-basement-945-002,zoya,Sea Vil,sea-vil-shoreline-villa-basement-945,Available,96086000,6,945
sea-vil-shoreline-villa-basement-945-003,zoya,Sea Vil,sea-vil-shoreline-villa-basement-945,Available,102372000,6,945
sea-vil-shoreline-villa-basement-945-004,zoya,Sea Vil,sea-vil-shoreline-villa-basement-945,Reserved,95188000,6,945
sea-vil-shoreline-villa-basement-945-005,zoya,Sea Vil,sea-vil-shoreline-villa-basement-945,Sold,101474000,6,945
sea-vil-shoreline-villa-basement-945-006,zoya,Sea Vil,sea-vil-shoreline-villa-basement-945,Sold,94290000,6,945
sea-vil-shoreline-villa-basement-920-001,zoya,Sea Vil,sea-vil-shoreline-villa-basement-920,Available,87400000,5,920
sea-vil-shoreline-villa-basement-920-002,zoya,Sea Vil,sea-vil-shoreline-villa-basement-920,Available,93518000,5,920
sea-vil-shoreline-villa-basement-920-003,zoya,Sea Vil,sea-vil-shoreline-villa-basement-920,Reserved,99636000,5,920
sea-vil-shoreline-villa-basement-920-004,zoya,Sea Vil,sea-vil-shoreline-villa-basement-920,Reserved,92644000,5,920
sea-vil-shoreline-villa-basement-920-005,zoya,Sea Vil,sea-vil-shoreline-villa-basement-920,Sold,98762000,5,920
sea-vil-shoreline-villa-basement-920-006,zoya,Sea Vil,sea-vil-shoreline-villa-basement-920,Sold,91770000,5,920
sea-vil-sea-view-villas-520-001,zoya,Sea Vil,sea-vil-sea-view-villas-520,Available,44200000,4,520
sea-vil-sea-view-villas-520-002,zoya,Sea Vil,sea-vil-sea-view-villas-520,Available,47294000,4,520
sea-vil-sea-view-villas-520-003,zoya,Sea Vil,sea-vil-sea-view-villas-520,Available,50388000,4,520
sea-vil-sea-view-villas-520-004,zoya,Sea Vil,sea-vil-sea-view-villas-520,Available,46852000,4,520
sea-vil-sea-view-villas-520-005,zoya,Sea Vil,sea-vil-sea-view-villas-520,Reserved,49946000,4,520
sea-vil-sea-view-villas-520-006,zoya,Sea Vil,sea-vil-sea-view-villas-520,Reserved,46410000,4,520
sea-vil-sea-view-villas-520-007,zoya,Sea Vil,sea-vil-sea-view-villas-520,Sold,49504000,4,520
sea-vil-sea-view-villas-520-008,zoya,Sea Vil,sea-vil-sea-view-villas-520,Sold,45968000,4,520
sea-vil-sea-view-villas-520-009,zoya,Sea Vil,sea-vil-sea-view-villas-520,Sold,49062000,4,520
sea-vil-sea-view-villas-520-010,zoya,Sea Vil,sea-vil-sea-view-villas-520,Sold,45526000,4,520
sea-vil-sea-shades-villas-375-001,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,27000000,5,375
sea-vil-sea-shades-villas-375-002,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,28890000,5,375
sea-vil-sea-shades-villas-375-003,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,30780000,5,375
sea-vil-sea-shades-villas-375-004,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,28620000,5,375
sea-vil-sea-shades-villas-375-005,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,30510000,5,375
sea-vil-sea-shades-villas-375-006,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,28350000,5,375
sea-vil-sea-shades-villas-375-007,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,30240000,5,375
sea-vil-sea-shades-villas-375-008,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,28080000,5,375
sea-vil-sea-shades-villas-375-009,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Available,29970000,5,375
sea-vil-sea-shades-villas-375-010,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Reserved,27810000,5,375
sea-vil-sea-shades-villas-375-011,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Sold,29700000,5,375
sea-vil-sea-shades-villas-375-012,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Sold,27540000,5,375
sea-vil-sea-shades-villas-375-013,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Sold,29430000,5,375
sea-vil-sea-shades-villas-375-014,zoya,Sea Vil,sea-vil-sea-shades-villas-375,Sold,27270000,5,375
isle-vil-shoreline-villa-494-001,zoya,Isle Vil,isle-vil-shoreline-villa-494,Available,42000000,5,494
isle-vil-shoreline-villa-494-002,zoya,Isle Vil,isle-vil-shoreline-villa-494,Available,44940000,5,494
isle-vil-shoreline-villa-494-003,zoya,Isle Vil,isle-vil-shoreline-villa-494,Available,47880000,5,494
isle-vil-shoreline-villa-494-004,zoya,Isle Vil,isle-vil-shoreline-villa-494,Available,44520000,5,494
isle-vil-shoreline-villa-494-005,zoya,Isle Vil,isle-vil-shoreline-villa-494,Reserved,47460000,5,494
isle-vil-shoreline-villa-494-006,zoya,Isle Vil,isle-vil-shoreline-villa-494,Reserved,44100000,5,494
isle-vil-shoreline-villa-494-007,zoya,Isle Vil,isle-vil-shoreline-villa-494,Reserved,47040000,5,494
isle-vil-shoreline-villa-494-008,zoya,Isle Vil,isle-vil-shoreline-villa-494,Sold,43680000,5,494
isle-vil-shoreline-villa-494-009,zoya,Isle Vil,isle-vil-shoreline-villa-494,Sold,46620000,5,494
isle-vil-shoreline-villa-494-010,zoya,Isle Vil,isle-vil-shoreline-villa-494,Sold,43260000,5,494
isle-vil-horizon-villa-300-001,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,21600000,4,300
isle-vil-horizon-villa-300-002,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,23112000,4,300
isle-vil-horizon-villa-300-003,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,24624000,4,300
isle-vil-horizon-villa-300-004,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,22896000,4,300
isle-vil-horizon-villa-300-005,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,24408000,4,300
isle-vil-horizon-villa-300-006,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,22680000,4,300
isle-vil-horizon-villa-300-007,zoya,Isle Vil,isle-vil-horizon-villa-300,Available,24192000,4,300
isle-vil-horizon-villa-300-008,zoya,Isle Vil,isle-vil-horizon-villa-300,Reserved,22464000,4,300
isle-vil-horizon-villa-300-009,zoya,Isle Vil,isle-vil-horizon-villa-300,Reserved,23976000,4,300
isle-vil-horizon-villa-300-010,zoya,Isle Vil,isle-vil-horizon-villa-300,Sold,22248000,4,300
isle-vil-horizon-villa-300-011,zoya,Isle Vil,isle-vil-horizon-villa-300,Sold,23760000,4,300
isle-vil-horizon-villa-300-012,zoya,Isle Vil,isle-vil-horizon-villa-300,Sold,22032000,4,300
isle-vil-horizon-villa-300-013,zoya,Isle Vil,isle-vil-horizon-villa-300,Sold,23544000,4,300
isle-vil-horizon-villa-300-014,zoya,Isle Vil,isle-vil-horizon-villa-300,Sold,21816000,4,300
isle-vil-town-casa-a-villa-248-001,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,17900000,3,248
isle-vil-town-casa-a-villa-248-002,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,19153000,3,248
isle-vil-town-casa-a-villa-248-003,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,20406000,3,248
isle-vil-town-casa-a-villa-248-004,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,18974000,3,248
isle-vil-town-casa-a-villa-248-005,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,20227000,3,248
isle-vil-town-casa-a-villa-248-006,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,18795000,3,248
isle-vil-town-casa-a-villa-248-007,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Available,20048000,3,248
isle-vil-town-casa-a-villa-248-008,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Reserved,18616000,3,248
isle-vil-town-casa-a-villa-248-009,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Reserved,19869000,3,248
isle-vil-town-casa-a-villa-248-010,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Reserved,18437000,3,248
isle-vil-town-casa-a-villa-248-011,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Reserved,19690000,3,248
isle-vil-town-casa-a-villa-248-012,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Sold,18258000,3,248
isle-vil-town-casa-a-villa-248-013,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Sold,19511000,3,248
isle-vil-town-casa-a-villa-248-014,zoya,Isle Vil,isle-vil-town-casa-a-villa-248,Sold,18079000,3,248
